11 [DBG_PIN] t=245827 sig=HP_OUT state=ACTIVE reason=assertHpOut camState=0 hpOutAsserted=1
8592 [DBG_HP_SAMPLE] t=254408 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1419
8693 [DBG_HP_SAMPLE] t=254508 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1319
8793 [DBG_HP_SAMPLE] t=254608 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1219
8892 [DBG_HP_SAMPLE] t=254708 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1119
8993 [DBG_HP_SAMPLE] t=254808 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1019
9092 [DBG_HP_SAMPLE] t=254908 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=919
9193 [DBG_HP_SAMPLE] t=255008 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=819
9293 [DBG_HP_SAMPLE] t=255108 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=719
9392 [DBG_HP_SAMPLE] t=255208 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=619
9493 [DBG_HP_SAMPLE] t=255308 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=519
9592 [DBG_HP_SAMPLE] t=255408 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=419
9693 [DBG_HP_SAMPLE] t=255508 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=319
9793 [DBG_HP_SAMPLE] t=255608 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=219
9892 [DBG_HP_SAMPLE] t=255708 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=119
